nombre;cuenta;valor;cedula;
Ever;234114314;168.0;1003067244;
Rossa;234524252;150.0;1003067243;
ggsgsg;2708811421;200.0;12342345234;
Rossa;2752191344;150.0;1003067243;
Ever;2948713418;100.0;1003067244;
Ever;3071254531;105.0;1003067244;
Ever;3317330092;100.0;1003067244;
Ever;3674131699;100.0;1003067244;
ggsgsg;4699480134;150.0;12342345234;
Ever;5742783035;150.0;1003067244;
juan;5789167775;15.0;8765654563;
Ever;6668781530;100.0;1003067244;
Ever;6671023485;100.0;1003067244;
Ever;7606141696;100.0;1003067244;
ggsgsg;8172659849;5.0;12342345234;
Ever;8634433544;100.0;1003067244;
